hex_id,tipologia_label,morfologia_continua,espontaneo,dist_centro_km,vitalidad_vecinal,dim1,dim2,dim3,barrio_km2,pct_barrio,pct_host,div_actividad,terrazas_ext_km2,n_parques_500m,dist_mercado_km,n_mercados_500m,dist_parque_km,airbnb_ent_km2,vut_km2,renta_persona,densidad_pob_km2,log_renta,log_densidad,log_bc_mean,log_airbnb,ps,asoc_km2,socios_km2,n_asoc,n_mercadillos_1km,cv_pob,n_socios,d_asociativo,n_barrio,n_mdl,n_div,d_comercio,n_arraigo,d_arraigo,vit_comunitaria
89390ca0497ffff,Planificado,0.5459077046406804,0.0,5.598881631542717,0.7750473643151677,0.8857684163601918,0.7769976596456034,0.662376016939708,230.7876642476461,0.5555555555555556,0.0888888888888888,3.328859964642838,18.46301313981169,1.0,0.6755046315504127,0.0,0.4714950034797656,9.231506569905845,0.0,12841.806511056511,23458.86069439029,9.460461261354997,10.063046184184309,0.0,2.3254718389059224,0.80103826360414,27.694519709717532,4403.4286338450875,0.898361751922434,0.0,0.038347097650818264,0.8712805081912404,0.8848211300568372,0.8639251086593113,0.371782012704781,0.8256435974590438,0.6871169062743787,0.4469320066334992,0.4469320066334992,0.6729566809882384
89390ca3387ffff,Espontáneo,0.3391542644715636,1.0,5.243433888126527,0.5261153831865969,0.2435083026858352,0.630558341691742,0.7042795051822134,0.0,0.0,0.0,0.0,0.0,2.0,0.6938366294155953,0.0,0.327198231169237,0.0,0.0,9245.0,287.9635668060044,9.131838143821223,5.666300613750184,0.0,0.0,0.9568628003281794,0.0,0.0,0.32012704781009693,1.0,0.286013518302716,0.32012704781009693,0.32012704781009693,0.2626211969241056,0.8538950183884988,0.20528251420929455,0.4405995765072997,0.019071310116086204,0.019071310116086204,0.25993264481116096
89390ca007bffff,Planificado,0.9054560969714271,0.0,9.17503217546707,0.470011887514395,0.5877632898696089,0.3317452357071213,0.4905271369664549,9.233041186595282,1.0,0.0,0.0,0.0,0.0,1.716231250705077,0.0,0.7782581109982186,0.0,0.0,,,,,7.244779455601941,0.0,,0.0,0.0,0.32012704781009693,0.0,,0.32012704781009693,0.32012704781009693,0.559679037111334,0.371782012704781,0.20528251420929455,0.3789145213418032,,,0.34952078457595004
89390cb8c87ffff,Espontáneo,0.39515498579627,1.0,7.567278705030133,0.7466102009732903,0.8172851889000334,0.8562353727850217,0.5663100412348155,193.53052922601296,0.35,0.25,3.444349692529922,82.94165538257698,1.0,2.0951912286361525,0.0,0.3950233008417255,9.215739486952998,0.0,,,,,7.4340520615890275,2.323929617911066,,9.215739486952998,3686.295794781199,0.6476094951521231,0.0,,0.8562353727850217,0.7519224339685724,0.8358408559010364,0.371782012704781,0.8548980274155801,0.6875069653404658,,,0.7197146996545192
89390cb0adbffff,Espontáneo,0.1538475722839864,1.0,5.533318394660885,0.785300345480887,0.912069541959211,0.6300568371782013,0.813774657305249,452.082730943354,0.3888888888888889,0.1904761904761904,4.018329467741936,73.80942546013942,0.0,0.2247473670983331,2.0,0.7743621056966168,239.88063274545317,27.678534547552285,15485.836978951713,30182.91870458709,9.64768114189602,10.3150645683125,7.029890216441576,5.484301510977788,0.7088112218695497,55.35706909510457,53022.846014927665,0.9689067201604814,2.0,0.0277698270388915,0.9882982280173855,0.9786024740889334,0.9374791039786025,0.9775994650618522,0.9789368104312939,0.9646717931572496,0.6517412935323383,0.6517412935323383,0.8650051869261738
89390cb5143ffff,Espontáneo,0.1304271942893351,1.0,12.36066626517985,0.7636056317099446,0.9321297225008358,0.8662654630558342,0.492421709573164,545.2316970556736,0.4214285714285714,0.15,4.037792157777671,101.65336724766796,1.0,7.433787504447759,0.0,0.076822377443389,101.65336724766796,9.241215204333452,,,,,6.760139357594262,4.631357946119019,,0.0,0.0,0.32012704781009693,1.0,,0.32012704781009693,0.32012704781009693,0.9551989301237045,0.8538950183884988,0.9809428284854563,0.9300122589992199,,,0.6250696534046585
89390cb1e37ffff,Planificado,0.6279298522726954,0.0,3.740848288896442,0.3498365466770681,0.2435083026858352,0.3317452357071213,0.474256101638248,0.0,0.0,0.0,0.0,0.0,0.0,1.7133132294820428,0.0,0.8842585408973505,0.0,0.0,,,,,8.851288744359273,0.0,,0.0,0.0,0.32012704781009693,0.0,,0.32012704781009693,0.32012704781009693,0.2626211969241056,0.371782012704781,0.20528251420929455,0.27989524127939375,,,0.3000111445447453
89390cbac37ffff,Espontáneo,0.1006356040352761,1.0,6.07631886702203,0.2919963594487165,0.2435083026858352,0.3317452357071213,0.3007355399531929,0.0,0.0,0.0,0.0,0.0,0.0,3.6400174414392974,0.0,2.1716567752891134,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.32012704781009693,0.0,,0.32012704781009693,0.32012704781009693,0.2626211969241056,0.371782012704781,0.20528251420929455,0.27989524127939375,,,0.3000111445447453
89390ca202bffff,Espontáneo,0.1463512255329478,1.0,5.696753487054295,0.6433559939076489,0.6829377019948736,0.630558341691742,0.6165719380363311,55.39516783638736,0.2222222222222222,0.2222222222222222,3.019736127138996,0.0,2.0,1.7123738459086633,0.0,0.3071940988747531,64.62769580911858,55.39516783638736,15293.0,31540.98237074201,9.635150486348124,10.359074711133582,7.565768754049354,4.183997799064161,0.6377321528255788,18.465055945462453,5234.843360538605,0.831494483450351,1.0,0.0345995879306965,0.8853226345703779,0.8584085590103645,0.684720829154129,0.8538950183884988,0.7550986292209964,0.7645714922545414,0.5140961857379768,0.5140961857379768,0.7123587456676276
89390cb02a3ffff,Espontáneo,0.4318148378051016,1.0,8.354257869860065,0.3653831865968275,0.3543408001783127,0.3317452357071213,0.4100635239050484,0.0,0.0,0.2,1.6094379124341005,0.0,0.0,3.135931807335087,0.0,0.8479869037836548,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.32012704781009693,0.0,,0.32012704781009693,0.32012704781009693,0.2626211969241056,0.371782012704781,0.5377800066867269,0.3907277387718711,,,0.35542739329098405
