hex_id,tipologia_label,morfologia_continua,espontaneo,dist_centro_km,vitalidad_vecinal,dim1,dim2,dim3,barrio_km2,pct_barrio,pct_host,div_actividad,terrazas_ext_km2,n_parques_500m,dist_mercado_km,n_mercados_500m,dist_parque_km,airbnb_ent_km2,vut_km2,renta_persona,densidad_pob_km2,log_renta,log_densidad,log_bc_mean,log_airbnb,ps
89390ca0497ffff,Planificado,0.5459077046406804,0.0,5.598881631542717,0.7750473643151677,0.8857684163601918,0.7769976596456034,0.662376016939708,230.7876642476461,0.5555555555555556,0.08888888888888889,3.328859964642838,18.463013139811686,1.0,0.6755046315504127,0.0,0.47149500347976564,9.231506569905843,0.0,12841.806511056511,23458.86069439029,9.460461261354995,10.063046184184307,0.0,2.3254718389059224,0.80103826360414
89390ca3387ffff,Espontáneo,0.33915426447156366,1.0,5.2434338881265266,0.5261153831865969,0.24350830268583526,0.630558341691742,0.7042795051822134,0.0,0.0,0.0,0.0,0.0,2.0,0.6938366294155953,0.0,0.327198231169237,0.0,0.0,9245.0,287.9635668060044,9.131838143821225,5.666300613750184,0.0,0.0,0.9568628003281794
89390ca007bffff,Planificado,0.9054560969714273,0.0,9.17503217546707,0.47001188751439504,0.5877632898696089,0.33174523570712133,0.49052713696645495,9.233041186595282,1.0,0.0,0.0,0.0,0.0,1.716231250705077,0.0,0.7782581109982186,0.0,0.0,,,,,7.244779455601941,0.0,
89390cb8c87ffff,Espontáneo,0.39515498579627006,1.0,7.567278705030133,0.7466102009732903,0.8172851889000334,0.8562353727850217,0.5663100412348155,193.53052922601296,0.35,0.25,3.4443496925299226,82.94165538257698,1.0,2.0951912286361525,0.0,0.39502330084172554,9.215739486952998,0.0,,,,,7.4340520615890275,2.323929617911066,
89390cb0adbffff,Espontáneo,0.15384757228398646,1.0,5.533318394660885,0.785300345480887,0.912069541959211,0.6300568371782013,0.813774657305249,452.082730943354,0.3888888888888889,0.19047619047619047,4.0183294677419354,73.80942546013942,0.0,0.22474736709833318,2.0,0.7743621056966168,239.88063274545314,27.678534547552285,15485.836978951713,30182.91870458709,9.647681141896019,10.3150645683125,7.029890216441576,5.484301510977788,0.7088112218695497
89390cb5143ffff,Espontáneo,0.13042719428933514,1.0,12.36066626517985,0.7636056317099446,0.9321297225008358,0.8662654630558342,0.492421709573164,545.2316970556736,0.42142857142857143,0.15,4.037792157777671,101.65336724766797,1.0,7.433787504447759,0.0,0.07682237744338907,101.65336724766797,9.241215204333452,,,,,6.760139357594262,4.631357946119019,
89390cb1e37ffff,Planificado,0.6279298522726954,0.0,3.740848288896442,0.34983654667706815,0.24350830268583526,0.33174523570712133,0.47425610163824805,0.0,0.0,0.0,0.0,0.0,0.0,1.7133132294820428,0.0,0.8842585408973505,0.0,0.0,,,,,8.851288744359273,0.0,
89390cbac37ffff,Espontáneo,0.1006356040352761,1.0,6.07631886702203,0.2919963594487165,0.24350830268583526,0.33174523570712133,0.3007355399531929,0.0,0.0,0.0,0.0,0.0,0.0,3.6400174414392983,0.0,2.1716567752891134,0.0,0.0,,,,,0.0,0.0,
89390ca202bffff,Espontáneo,0.1463512255329478,1.0,5.696753487054295,0.6433559939076489,0.6829377019948736,0.630558341691742,0.6165719380363311,55.39516783638736,0.2222222222222222,0.2222222222222222,3.019736127138996,0.0,2.0,1.7123738459086633,0.0,0.3071940988747531,64.62769580911858,55.39516783638736,15293.0,31540.982370742015,9.635150486348124,10.359074711133582,7.565768754049354,4.183997799064161,0.6377321528255788
89390cb02a3ffff,Espontáneo,0.4318148378051016,1.0,8.354257869860065,0.36538318659682756,0.35434080017831276,0.33174523570712133,0.41006352390504847,0.0,0.0,0.2,1.6094379124341005,0.0,0.0,3.135931807335087,0.0,0.8479869037836548,0.0,0.0,,,,,0.0,0.0,
89390ca2317ffff,Espontáneo,0.5742576184461244,1.0,6.508664052690012,0.5098071993759055,0.24350830268583526,0.630558341691742,0.6553549537501393,0.0,0.0,0.0,0.0,0.0,2.0,1.7937166476178097,0.0,0.10749691528676392,0.0,0.0,,,,,9.24860720137349,0.0,
89390cb1a1bffff,Planificado,0.5767478754328709,0.0,2.6687562026828604,0.5588989189791597,0.36715702663546196,0.630558341691742,0.6789813886102752,0.0,0.0,0.2857142857142857,1.945910149055314,0.0,2.0,0.774721850762556,0.0,0.3740829395864479,0.0,0.0,,,,,5.555315999007575,0.0,
89390cbab07ffff,Espontáneo,0.1692823562413893,1.0,5.703095524144593,0.6461235558527435,0.8075894349715814,0.5640254095620194,0.5667558230246293,165.9198451534643,0.4186046511627907,0.2558139534883721,3.0233298295926216,27.653307525577386,0.0,1.4158688692091361,0.0,0.5496175346288031,64.52438422634724,18.435538350384924,11133.824598930481,42622.633911863544,9.317743014975612,10.6601641650837,6.796174129516389,4.1824223516276895,0.8339276908381075
89390ca3673ffff,Transición,0.5122321337894341,,4.908297509921663,0.46915747241725175,0.24350830268583526,0.33174523570712133,0.8322188788587986,0.0,0.0,0.0,0.0,0.0,0.0,0.4865567532364136,1.0,0.5313646118019357,9.220820044085826,0.0,13303.0,3971.8307133711783,9.495744852683906,8.287234145637022,8.156206284088288,2.3244268207039114,
