hex_id,bc_mean,bc_max,bc_sum,bc_n,log_bc_mean,log_bc_max
89390ca0003ffff,0.001727820866987884,0.0064699926772581115,0.0431955216746971,25,7.455194875334943,8.775084803432165
89390ca0007ffff,0.0041998456614649425,0.01259396988124423,0.0881967588907638,21,8.343041131971521,9.44105279745747
89390ca000bffff,0.002292310059749329,0.006804610143589417,0.055015441433983896,24,7.737751493842667,8.825502572137438
89390ca000fffff,0.002112328472730746,0.005116686300105065,0.03379725556369194,16,7.656019458790839,8.540457721387728
89390ca0013ffff,0.0044672912222611365,0.028548123149415777,0.17869164889044545,40,8.4047613376221,10.259381501807457
89390ca0017ffff,0.008158081329255572,0.02292075519755484,0.13868738259734473,17,9.006886859421229,10.039841747196581
89390ca001bffff,0.0011332420643764525,0.005124200070043618,0.040796714317552295,36,7.033719922157644,8.541924841301935
89390ca0023ffff,0.004431954940535284,0.009587443089560319,0.048751504345888125,11,8.396821670140108,9.168313807415185
89390ca0027ffff,0.00025050144862937376,0.00033168836957559936,0.0005010028972587475,2,5.527448749480954,5.807206224720578
89390ca002bffff,0.0017368437809478009,0.0057937533827883735,0.03300003183800822,19,7.460400417405633,8.664708197972402
89390ca002fffff,0.00025731478238721385,0.00025731478238721385,0.00025731478238721385,1,5.554178927992757,5.554178927992757
89390ca0033ffff,0.0023549764254021,0.009587188385494605,0.0259047406794231,11,7.764710538525362,9.168287243410337
89390ca0037ffff,0.0005241385165610707,0.0008782196185806617,0.003144831099366424,6,6.263662068860396,6.779034716967686
89390ca003bffff,0.00014781325946915428,0.0004004584673182846,0.0013303193352223886,9,5.002692227764705,5.995104084246063
89390ca0043ffff,0.004475737668962541,0.007234168550415487,0.04028163902066287,9,8.406649861251143,8.886708935327118
89390ca0047ffff,0.00013857316197409802,0.0005033589098665988,0.0012471584577668823,9,4.938588922376762,6.223288137383463
89390ca004fffff,0.003051354707249515,0.004893692890572766,0.00610270941449903,2,8.023668606899385,8.49590681358329
89390ca0057ffff,0.001975458263146689,0.005955490464516541,0.06321466442069405,32,7.589061765967711,8.692236738384704
89390ca0063ffff,0.002365309306249801,0.0041216848673946965,0.014191855837498806,6,7.769086765600809,8.32425989694431
89390ca0067ffff,0.0011422522207010732,0.0039570823649272505,0.004569008882804293,4,7.041632304982001,8.283514935680012
89390ca006bffff,0.00239143881843232,0.0038162310165876026,0.02152294936589088,9,7.780068550767039,8.247280573991487
89390ca006fffff,0.0004182559139100258,0.00042427329746251075,0.0008365118278200516,2,6.038481506531143,6.052732015107493
89390ca0073ffff,0.0025139331083447423,0.006313349676844217,0.04022292973351588,16,7.830001485100506,8.750580048776127
89390ca0077ffff,9.56322801016997e-05,0.00021917284854659495,0.0006694259607118979,7,4.57091284794208,5.394412913082954
89390ca007bffff,0.0013997729292837004,0.005287656404215353,0.02799545858567401,20,7.244779455601941,8.573319504730973
89390ca0083ffff,0.012615105424049047,0.03720997166417269,0.3532229518733733,28,9.442729484984708,10.524358933984752
89390ca0087ffff,0.002437077965493388,0.012485083893151646,0.02680785762042727,11,7.798965288813479,9.432370014576504
89390ca008bffff,0.0022957506055344256,0.009924289216466618,0.05968951574389507,26,7.739250622799925,9.202841245328973
89390ca008fffff,0.004666171781135478,0.03739501416791366,0.08865726384157407,19,8.448308552886633,10.529319404672876
89390ca0093ffff,0.022140743588927234,0.032222484001400875,0.5756593333121081,26,10.00521995604919,10.380450782523923
