CUSEC,cv_pob,cambio_pct
2807901001,0.03202186029507311,10.582959641255606
2807901002,0.03841985671070077,4.2792792792792795
2807901003,0.05834087009604954,20.79806529625151
2807901004,0.0406679859785199,12.189054726368159
2807901006,0.019816506464365686,6.662665066026411
2807901007,0.026528704383186243,9.923664122137405
2807901008,0.022919917549754098,0.38167938931297707
2807901009,0.05922183842719709,15.76
2807901011,0.04017628639892991,7.942583732057416
2807901012,0.0276823582252396,-5.066344993968637
2807901013,0.058429606065807084,13.873873873873874
2807901014,0.024947964147463572,5.389221556886228
2807901015,0.04490405567484001,0.62266500622665
2807901016,0.04610550326560745,12.585365853658537
2807901018,0.018247225779224614,1.497695852534562
2807901019,0.04048313715936959,11.435726210350584
2807901020,0.04220861538133866,12.149532710280374
2807901021,0.02364055640627135,6.740331491712707
2807901022,0.036440524686873685,11.6751269035533
2807901023,0.0396690186960217,6.8245125348189415
2807901024,0.01545216354801625,1.932367149758454
2807901025,0.07776471244336171,21.168687982359426
2807901026,0.06270370218919112,15.843023255813954
2807901027,0.03300840452930058,12.576956904133684
2807901028,0.09580340879347375,27.28624535315985
2807901029,0.027608691250880432,11.136712749615976
2807901030,0.0348435734350534,12.857142857142856
2807901031,0.03642825156082747,10.256410256410255
2807901032,0.09060825437342747,29.24107142857143
2807901033,0.02738203825428109,9.586776859504132
2807901034,0.046799242506442254,12.515802781289507
2807901035,0.01657686824106379,1.425793907971484
2807901036,0.05447474293447496,9.875444839857652
2807901037,0.03357122038115872,-6.548672566371681
2807901038,0.1677020928313568,48.18339100346021
2807901039,0.041788248503520614,9.418837675350701
2807901040,0.04249779253107588,12.452830188679245
2807901041,0.03023207164253804,5.436893203883495
2807901042,0.025433546844776146,6.488549618320611
2807901043,0.028888053258722634,9.663503019844693
2807901045,0.032196484947302276,10.876369327073553
2807901046,0.032034709768824714,9.01749663526245
2807901047,0.036013707149144654,12.97246850209986
2807901048,0.017138902353588493,4.792332268370607
2807901049,0.04065919653626607,14.262948207171315
2807901050,0.03648631664810872,4.288777698355969
2807901051,0.06381136725574936,21.187683284457478
2807901053,0.03186232996108005,10.038314176245212
2807901054,0.02169928492894502,5.83058305830583
2807901055,0.02672571693731316,7.925636007827788
2807901056,0.052916359777968,17.163289630512516
2807901057,0.021733477972934304,1.2405237767057202
2807901058,0.04751816182163006,12.068965517241379
2807901059,0.05701922195270054,15.909090909090908
2807901061,0.05319813117026602,15.17509727626459
2807901062,0.016273296356227478,-0.10080645161290322
2807901063,0.02909589673805367,7.238605898123325
2807901064,0.05549750624109312,9.201623815967523
2807901065,0.025027234627128987,5.491698595146871
2807901066,0.06252432732199585,-7.942973523421588
2807901067,0.07638050376483965,18.30065359477124
