PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;COD-BARRIO;BARRIO;COD-DISTRITO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO
19529;"Mercadillo en la vía pública de Rafael Finat (Distrito Latina)";"";"Sábados, de 8:30 a 15 horas.";"Puestos: 77.   Más información";"Metro: Aluche (línea 5).  Cercanías Renfe: Aluche (línea C5), Maestra Justa Freire - Polideportivo Aluche (antigua estación de Fanjul) (línea C5).";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d21092355c51c010VgnVCM2000000c205a0aRCRD";"RAFAEL FINAT";"CALLE";"V";"1";"";"";"";"";"MADRID";"MADRID";"28044";"7";"LAS AGUILAS";"10";"LATINA";"435128";"4470628";"40.38372024380753";"-3.764270270130351";"";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"
19631;"Mercadillo en la vía pública de Ronda del Sur (Distrito Puente de Vallecas)";"";"Domingos, de 9 a 15 horas.";"Alimentación, bazar, calzado, textiles y otros. Puestos: 275.   Más información";"Cercanías Renfe: El Pozo (líneas C2, C7, C8, Regional).";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=407092355c51c010VgnVCM2000000c205a0aRCRD";"SUR";"RONDA";"V";"231";"";"";"";"";"MADRID";"MADRID";"28053";"1";"ENTREVIAS";"13";"PUENTE DE VALLECAS";"442304";"4470116";"40.37963903974854";"-3.6796821404150357";"";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"
19476;"Mercadillo en la vía pública de San Cristóbal de los Ángeles (Distrito Villaverde)";"";"Jueves, de 9 a 14 horas.";"Alimentación, textil y otros. Puestos: 38.   Más información";"Metro: San Cristóbal (línea 3).  Cercanías Renfe: San Cristóbal de los Ángeles (línea C3).";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a59092355c51c010VgnVCM2000000c205a0aRCRD";"BURJASOT";"CALLE";"V";"";"";"";"";"";"MADRID";"MADRID";"28021";"2";"SAN CRISTOBAL";"17";"VILLAVERDE";"441665";"4466227";"40.34456182361662";"-3.6868604757842385";"";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"
19536;"Mercadillo en la vía pública de San Restituto (Distrito Moncloa-Aravaca)";"";"Jueves, de 9 a 14 horas.";"Alimentación, textil y calzado, hogar y más. Puestos: 17.   Más información";"Metro: Valdezarza (línea 7).";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=58a092355c51c010VgnVCM2000000c205a0aRCRD";"SAN RESTITUTO";"CALLE";"V";"";"";"";"";"";"MADRID";"MADRID";"";"";"";"";"DISTRITO";"439835";"4479524";"40.46421636518234";"-3.7096638531121515";"";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"
19484;"Mercadillo en la vía pública de Santa Ana (Distrito Fuencarral - El Pardo)";"";"Miércoles, de 9 a 14 horas.";"Puestos: 67.";"Metro: Fuencarral (línea 10).  Bus: 66, 137.";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0bb092355c51c010VgnVCM2000000c205a0aRCRD";"SAN CUGAT DEL VALLES";"CALLE";"V";"";"";"";"";"";"MADRID";"MADRID";"28034";"6";"VALVERDE";"8";"FUENCARRAL-EL PARDO";"441081";"4483142";"40.496893825424046";"-3.6953071080027495";"";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"
19491;"Mercadillo en la vía pública de Villaverde Alto";"";"Sábados, de 9 a 14 horas.";"Puestos: 58.   Más información";"Consulta los siguientes enlaces";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c50192355c51c010VgnVCM2000000c205a0aRCRD";"FERROVIARIOS";"PASEO";"V";"";"";"";"";"";"MADRID";"MADRID";"28021";"1";"VILLAVERDE ALTO C.H.";"17";"VILLAVERDE";"439204";"4466561";"40.34739517589523";"-3.7158656504759695";"";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"
19489;"Mercadillo en la vía pública de Vía Lusitana (Distrito Carabanchel)";"";"Jueves, de 9 a 14 horas.";"Puestos: 150.   Más información";"Metro: Abrantes (línea 11), Plaza Elíptica (líneas 6, 11), Opañel (línea 6).";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=13f092355c51c010VgnVCM2000000c205a0aRCRD";"VIA LUSITANA";"CALLE";"V";"1";"";"";"";"";"MADRID";"MADRID";"28025";"7";"ABRANTES";"11";"CARABANCHEL";"438832";"4470553";"40.383324557147205";"-3.720633039981772";"";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"
19548;"Mercadillo en la vía pública de avenida de Asturias (Distrito Tetuán)";"";"Domingos y festivos, de 9 a 14 horas.";"Puestos: 256.   Más información";"Metro: Plaza de Castilla (líneas 1, 9, 10).";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ea4092355c51c010VgnVCM2000000c205a0aRCRD";"ASTURIAS";"AVENIDA";"V";"1";"";"";"";"";"MADRID";"MADRID";"28029";"4";"ALMENARA";"6";"TETUAN";"441434";"4479766";"40.4665101915212";"-3.6908289876552676";"";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"
21200;"Mercadillo en la vía pública de avenida de Felipe II (Distrito Salamanca)";"Mercadillo fijo de productos artesanía y ropa.";"Anual.";"Puestos: 19.   Más información";"Metro: Goya (líneas 2 y 4).";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=009f92355c51c010VgnVCM2000000c205a0aRCRD";"FELIPE II";"AVENIDA";"V";"1";"";"";"";"";"MADRID";"MADRID";"28009";"2";"GOYA";"4";"SALAMANCA";"442640";"4475071";"40.424300029319404";"-3.6761717960281786";"";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"
19732;"Mercadillo en la vía pública de la calle Alcorisa - camino Silvano (Distrito Hortaleza)";"";"Martes, de 9 a 14 horas.";"Puestos: 100.   Más información";"Metro: Canillas (línea 4).";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cadf92355c51c010VgnVCM2000000c205a0aRCRD";"ALCORISA";"CALLE";"V";"";"";"";"";"";"MADRID";"MADRID";"28043";"3";"CANILLAS";"16";"HORTALEZA";"445644";"4479483";"40.46424350893117";"-3.6411429579620926";"";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"
